,Emergence,SIA,summed_probabilities,numSIA
156,ANG-LNO-2,ETH-2018-003,2.50E-05,24
157,ANG-LNO-2,ETH-2018-004,0,25
158,ANG-LNO-2,KEN-2018-003,0,26
159,ANG-LNO-2,KEN-2018-004,0,27
160,ANG-LNO-2,MOZ-2017-002,0,28
161,ANG-LNO-2,MOZ-2019-001,0,29
162,ANG-LNO-2,MOZ-2019-002,0,30
163,ANG-LNO-2,MOZ-2019-003,0,31
164,ANG-LNO-2,MOZ-2019-004,0,32
165,ANG-LNO-2,NER-2016-001,0,33
166,ANG-LNO-2,NER-2017-012,0,34
167,ANG-LNO-2,NER-2018-005,0,35
168,ANG-LNO-2,NER-2018-006,0,36
169,ANG-LNO-2,NER-2018-008,0,37
170,ANG-LNO-2,NGA-2016-018,0,38
171,ANG-LNO-2,NGA-2016-019,0,39
172,ANG-LNO-2,NGA-2016-021,0,40
173,ANG-LNO-2,NGA-2016-024,0,41
174,ANG-LNO-2,NGA-2016-025,0,42
175,ANG-LNO-2,NGA-2016-034,0,43
176,ANG-LNO-2,NGA-2017-020,0,44
177,ANG-LNO-2,NGA-2017-021,0,45
178,ANG-LNO-2,NGA-2017-024,0,46
179,ANG-LNO-2,NGA-2018-012,0,47
180,ANG-LNO-2,NGA-2018-014,0,48
181,ANG-LNO-2,NGA-2018-017,0,49
182,ANG-LNO-2,NGA-2018-018,0,50
183,ANG-LNO-2,NGA-2018-019,0,51
184,ANG-LNO-2,NGA-2018-020,0,52
185,ANG-LNO-2,NGA-2018-022,0,53
186,ANG-LNO-2,NGA-2018-023,0,54
187,ANG-LNO-2,NGA-2018-025,0,55
188,ANG-LNO-2,NGA-2019-004,0,56
189,ANG-LNO-2,NGA-2019-007,0,57
190,ANG-LNO-2,NGA-2019-019,0,58
191,ANG-LNO-2,NGA-2019-024,0,59
192,ANG-LNO-2,SDN-2016-001,0,60
193,ANG-LNO-2,SOM-2017-011,0,61
194,ANG-LNO-2,SOM-2018-004,0,62
195,ANG-LNO-2,SOM-2018-007,0,63
196,ANG-LNO-2,SOM-2018-008,0,64
197,ANG-LNO-2,SOM-2018-009,0,65
198,ANG-LNO-2,SOM-2018-011,0,66
199,ANG-LUA-1,CAF-2019-005,0,1
200,ANG-LUA-1,COD-2016-001,0,2
201,ANG-LUA-1,COD-2017-006,0,3
202,ANG-LUA-1,COD-2017-007,0,4
203,ANG-LUA-1,COD-2017-009,0,5
204,ANG-LUA-1,COD-2017-011,2.50E-05,6
205,ANG-LUA-1,COD-2017-014,7.50E-05,7
206,ANG-LUA-1,COD-2018-005,0.006275,8
207,ANG-LUA-1,COD-2018-009,0.002175,9
208,ANG-LUA-1,COD-2018-010,0.047175,10
209,ANG-LUA-1,COD-2018-011,0.000275,11
210,ANG-LUA-1,COD-2018-013,0.48265,12
211,ANG-LUA-1,COD-2018-014,0.002575,13
212,ANG-LUA-1,COD-2018-015,0.002425,14
213,ANG-LUA-1,COD-2018-016,0.45535,15
214,ANG-LUA-1,COD-2018-017,0.000125,16
215,ANG-LUA-1,COD-2019-003,0.000525,17
216,ANG-LUA-1,COD-2019-012,0,18
217,ANG-LUA-1,COD-2019-013,0,19
218,ANG-LUA-1,COD-2019-015,0,20
219,ANG-LUA-1,COD-2019-016,0,21
220,ANG-LUA-1,COG-2016-005,0,22
221,ANG-LUA-1,ETH-2016-002,0,23
222,ANG-LUA-1,ETH-2018-003,0,24
223,ANG-LUA-1,ETH-2018-004,0,25
224,ANG-LUA-1,KEN-2018-003,0,26
225,ANG-LUA-1,KEN-2018-004,0,27
226,ANG-LUA-1,MOZ-2017-002,0,28
227,ANG-LUA-1,MOZ-2019-001,0,29
228,ANG-LUA-1,MOZ-2019-002,0,30
229,ANG-LUA-1,MOZ-2019-003,0,31
230,ANG-LUA-1,MOZ-2019-004,0,32
231,ANG-LUA-1,NER-2016-001,0,33
232,ANG-LUA-1,NER-2017-012,0,34
233,ANG-LUA-1,NER-2018-005,0,35
234,ANG-LUA-1,NER-2018-006,2.50E-05,36
235,ANG-LUA-1,NER-2018-008,0,37
236,ANG-LUA-1,NGA-2016-018,0,38
237,ANG-LUA-1,NGA-2016-019,0,39
238,ANG-LUA-1,NGA-2016-021,0,40
239,ANG-LUA-1,NGA-2016-024,0,41
240,ANG-LUA-1,NGA-2016-025,0,42
241,ANG-LUA-1,NGA-2016-034,0,43
242,ANG-LUA-1,NGA-2017-020,0,44
243,ANG-LUA-1,NGA-2017-021,0,45
244,ANG-LUA-1,NGA-2017-024,0,46
245,ANG-LUA-1,NGA-2018-012,0,47
246,ANG-LUA-1,NGA-2018-014,0,48
247,ANG-LUA-1,NGA-2018-017,0,49
248,ANG-LUA-1,NGA-2018-018,0.00015,50
249,ANG-LUA-1,NGA-2018-019,0,51
250,ANG-LUA-1,NGA-2018-020,7.50E-05,52
251,ANG-LUA-1,NGA-2018-022,0,53
252,ANG-LUA-1,NGA-2018-023,0,54
253,ANG-LUA-1,NGA-2018-025,1.00E-04,55
254,ANG-LUA-1,NGA-2019-004,0,56
255,ANG-LUA-1,NGA-2019-007,0,57
256,ANG-LUA-1,NGA-2019-019,0,58
257,ANG-LUA-1,NGA-2019-024,0,59
258,ANG-LUA-1,SDN-2016-001,0,60
259,ANG-LUA-1,SOM-2017-011,0,61
260,ANG-LUA-1,SOM-2018-004,0,62
261,ANG-LUA-1,SOM-2018-007,0,63
262,ANG-LUA-1,SOM-2018-008,0,64
263,ANG-LUA-1,SOM-2018-009,0,65
264,ANG-LUA-1,SOM-2018-011,0,66
265,ANG-MOX-1,CAF-2019-005,0,1
266,ANG-MOX-1,COD-2016-001,0,2
267,ANG-MOX-1,COD-2017-006,0,3
268,ANG-MOX-1,COD-2017-007,0,4
269,ANG-MOX-1,COD-2017-009,0,5
270,ANG-MOX-1,COD-2017-011,0.00015,6
271,ANG-MOX-1,COD-2017-014,0.000275,7
272,ANG-MOX-1,COD-2018-005,0.01505,8
273,ANG-MOX-1,COD-2018-009,0.0166,9
274,ANG-MOX-1,COD-2018-010,0.1588,10
275,ANG-MOX-1,COD-2018-011,0,11
276,ANG-MOX-1,COD-2018-013,0.416675,12
277,ANG-MOX-1,COD-2018-014,0.000125,13
