Source,Days
AFP,13
AFP,13
AFP,13
AFP,13
AFP,13
AFP,13
AFP,13
AFP,13
AFP,13
AFP,13
AFP,13
AFP,13
AFP,13
AFP,13
AFP,13
AFP,13
AFP,13
AFP,13
AFP,13
AFP,14
AFP,14
AFP,14
AFP,14
AFP,14
AFP,14
AFP,14
AFP,14
AFP,14
AFP,14
AFP,14
AFP,14
AFP,14
AFP,14
AFP,14
AFP,15
AFP,15
AFP,15
AFP,15
AFP,15
AFP,15
AFP,15
AFP,15
AFP,15
AFP,15
AFP,15
AFP,15
AFP,15
AFP,15
AFP,15
AFP,15
AFP,15
AFP,15
AFP,15
AFP,15
AFP,15
AFP,15
AFP,15
AFP,16
AFP,16
AFP,16
AFP,16
AFP,16
AFP,16
AFP,16
AFP,16
AFP,16
AFP,16
AFP,16
AFP,16
AFP,16
AFP,16
AFP,16
AFP,16
AFP,17
AFP,17
AFP,17
AFP,17
AFP,17
AFP,17
AFP,17
AFP,17
AFP,17
AFP,17
AFP,18
AFP,18
AFP,18
AFP,18
AFP,18
AFP,18
AFP,18
AFP,19
AFP,19
AFP,19
AFP,19
AFP,19
AFP,19
AFP,19
AFP,19
AFP,19
AFP,19
AFP,19
AFP,19
AFP,19
AFP,19
AFP,19
AFP,19
AFP,19
AFP,19
AFP,20
AFP,20
AFP,20
AFP,20
AFP,20
AFP,20
AFP,20
AFP,20
AFP,20
AFP,20
AFP,20
AFP,20
AFP,21
AFP,21
AFP,21
AFP,21
AFP,21
AFP,21
AFP,21
AFP,21
AFP,21
AFP,21
AFP,21
AFP,21
AFP,22
AFP,22
AFP,22
AFP,22
AFP,22
AFP,22
AFP,22
AFP,22
AFP,22
AFP,22
AFP,23
AFP,23
AFP,23
AFP,23
AFP,23
AFP,23
AFP,23
AFP,23
AFP,23
AFP,23
AFP,23
AFP,23
AFP,23
AFP,23
AFP,23
AFP,24
AFP,24
AFP,24
AFP,24
AFP,24
AFP,24
AFP,24
AFP,24
AFP,25
AFP,25
AFP,25
AFP,25
AFP,25
AFP,25
AFP,25
AFP,25
AFP,25
AFP,25
AFP,26
AFP,26
AFP,26
AFP,26
AFP,26
AFP,26
AFP,26
AFP,26
AFP,26
AFP,27
AFP,27
AFP,27
AFP,27
AFP,28
AFP,28
AFP,28
AFP,28
AFP,29
AFP,30
AFP,31
AFP,31
AFP,31
AFP,31
AFP,32
AFP,32
AFP,32
AFP,32
AFP,32
AFP,32
AFP,33
AFP,33
AFP,33
AFP,33
AFP,33
AFP,33
AFP,33
AFP,33
AFP,33
AFP,33
AFP,33
AFP,34
AFP,34
AFP,34
AFP,35
AFP,35
AFP,35
AFP,35
AFP,36
AFP,36
AFP,37
AFP,37
AFP,37
AFP,37
AFP,37
AFP,37
AFP,41
AFP,41
AFP,41
AFP,43
AFP,43
AFP,44
AFP,44
AFP,44
AFP,45
AFP,46
AFP,46
AFP,46
AFP,46
AFP,46
AFP,47
AFP,48
AFP,49
AFP,49
AFP,50
AFP,51
AFP,52
AFP,52
AFP,55
AFP,55
AFP,56
AFP,59
AFP,60
AFP,60
AFP,62
AFP,63
AFP,65
AFP,66
AFP,69
AFP,69
AFP,69
AFP,72
AFP,74
AFP,74
AFP,76
AFP,77
AFP,80
AFP,81
AFP,84
AFP,85
AFP,86
AFP,87
AFP,91
AFP,91
AFP,92
AFP,94
AFP,95
AFP,95
AFP,95
AFP,96
AFP,108
AFP,109
AFP,109
AFP,112
AFP,113
AFP,113
AFP,138
AFP,138
AFP,139
AFP,142
AFP,145
AFP,145
AFP,149
AFP,154
AFP,155
AFP,155
AFP,172
AFP,176
AFP,178
AFP,179
AFP,181
AFP,13
AFP,43
AFP,75
AFP,77
AFP,98
AFP,106
AFP,109
AFP,150
AFP,187
AFP,225
AFP,296
